1,1,"Access Control Policy","Generated Compliance Finding",Critical,Closed,"2025-02-25 00:00:00","2025-04-23 00:00:00","2025-04-19 00:00:00",0
2,1,"Vendor Compliance Policy","Generated Compliance Finding",Medium,"In Progress","2025-12-19 00:00:00","2026-01-09 00:00:00",,1
3,2,"Access Control Policy","Generated Compliance Finding",Critical,"In Progress","2024-08-15 00:00:00","2024-09-11 00:00:00",,1
4,2,"Data Retention Policy","Generated Compliance Finding",Medium,Open,"2024-08-21 00:00:00","2024-09-19 00:00:00",,1
5,3,"Access Control Policy","Generated Compliance Finding",Medium,Open,"2024-12-02 00:00:00","2025-01-03 00:00:00",,1
6,3,"Access Control Policy","Generated Compliance Finding",Medium,"In Progress","2025-10-18 00:00:00","2025-12-04 00:00:00",,1
7,4,"Access Control Policy","Generated Compliance Finding",Low,Open,"2024-04-28 00:00:00","2024-05-29 00:00:00",,1
8,4,"Access Control Policy","Generated Compliance Finding",Low,"In Progress","2024-04-21 00:00:00","2024-06-13 00:00:00",,1
9,5,"Anti-Bribery Policy","Generated Compliance Finding",Critical,Closed,"2025-03-22 00:00:00","2025-05-14 00:00:00","2025-05-12 00:00:00",0
10,5,"Vendor Compliance Policy","Generated Compliance Finding",Medium,Closed,"2024-09-17 00:00:00","2024-10-04 00:00:00","2024-09-27 00:00:00",0
11,6,"Access Control Policy","Generated Compliance Finding",Medium,Open,"2025-01-07 00:00:00","2025-02-18 00:00:00",,1
12,6,"Access Control Policy","Generated Compliance Finding",High,Closed,"2025-11-10 00:00:00","2025-12-02 00:00:00","2025-11-27 00:00:00",0
13,7,"Data Retention Policy","Generated Compliance Finding",High,Closed,"2024-11-30 00:00:00","2025-01-09 00:00:00","2025-01-04 00:00:00",0
14,7,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2025-03-06 00:00:00","2025-05-02 00:00:00",,1
15,8,"Access Control Policy","Generated Compliance Finding",High,Open,"2025-02-19 00:00:00","2025-04-10 00:00:00",,1
16,8,"Access Control Policy","Generated Compliance Finding",Medium,Closed,"2024-08-03 00:00:00","2024-09-14 00:00:00","2024-09-04 00:00:00",0
17,9,"Anti-Bribery Policy","Generated Compliance Finding",Medium,Closed,"2025-03-28 00:00:00","2025-05-10 00:00:00","2025-05-06 00:00:00",0
18,9,"Access Control Policy","Generated Compliance Finding",High,"In Progress","2025-11-05 00:00:00","2025-11-25 00:00:00",,1
19,10,"Data Retention Policy","Generated Compliance Finding",Low,"In Progress","2024-08-28 00:00:00","2024-10-25 00:00:00",,1
20,10,"Data Retention Policy","Generated Compliance Finding",High,Open,"2024-05-30 00:00:00","2024-06-15 00:00:00",,1
21,11,"Data Retention Policy","Generated Compliance Finding",Medium,Closed,"2025-04-11 00:00:00","2025-05-22 00:00:00","2025-05-12 00:00:00",0
22,11,"Data Retention Policy","Generated Compliance Finding",Critical,Open,"2025-05-21 00:00:00","2025-06-30 00:00:00",,1
23,12,"Data Retention Policy","Generated Compliance Finding",Medium,Open,"2024-04-19 00:00:00","2024-05-31 00:00:00",,1
24,12,"Vendor Compliance Policy","Generated Compliance Finding",Critical,Open,"2024-02-21 00:00:00","2024-04-11 00:00:00",,1
25,13,"Access Control Policy","Generated Compliance Finding",Medium,Closed,"2024-05-16 00:00:00","2024-06-29 00:00:00","2024-06-20 00:00:00",0
26,13,"Anti-Bribery Policy","Generated Compliance Finding",Critical,"In Progress","2025-09-19 00:00:00","2025-11-05 00:00:00",,1
27,14,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2025-05-01 00:00:00","2025-06-13 00:00:00",,1
28,14,"Access Control Policy","Generated Compliance Finding",Critical,Closed,"2025-06-17 00:00:00","2025-08-02 00:00:00","2025-07-29 00:00:00",0
29,15,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2024-03-20 00:00:00","2024-05-19 00:00:00",,1
30,15,"Data Retention Policy","Generated Compliance Finding",Medium,Closed,"2024-12-09 00:00:00","2025-01-13 00:00:00","2025-01-11 00:00:00",0
31,16,"Data Retention Policy","Generated Compliance Finding",Low,Closed,"2024-08-24 00:00:00","2024-10-02 00:00:00","2024-09-29 00:00:00",0
32,16,"Anti-Bribery Policy","Generated Compliance Finding",Low,"In Progress","2025-02-28 00:00:00","2025-04-10 00:00:00",,1
33,17,"Anti-Bribery Policy","Generated Compliance Finding",Medium,"In Progress","2024-03-04 00:00:00","2024-04-01 00:00:00",,1
34,17,"Vendor Compliance Policy","Generated Compliance Finding",High,"In Progress","2025-08-12 00:00:00","2025-09-20 00:00:00",,1
35,18,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2024-11-01 00:00:00","2024-12-10 00:00:00",,1
36,18,"Vendor Compliance Policy","Generated Compliance Finding",Medium,"In Progress","2024-10-06 00:00:00","2024-11-17 00:00:00",,1
37,19,"Data Retention Policy","Generated Compliance Finding",Medium,Closed,"2024-12-10 00:00:00","2025-02-05 00:00:00","2025-01-29 00:00:00",0
38,19,"Anti-Bribery Policy","Generated Compliance Finding",Critical,Closed,"2024-05-10 00:00:00","2024-07-03 00:00:00","2024-07-02 00:00:00",0
39,20,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2024-03-26 00:00:00","2024-05-21 00:00:00",,1
40,20,"Anti-Bribery Policy","Generated Compliance Finding",Critical,"In Progress","2024-07-05 00:00:00","2024-07-23 00:00:00",,1
41,21,"Access Control Policy","Generated Compliance Finding",Medium,"In Progress","2024-08-04 00:00:00","2024-09-17 00:00:00",,1
42,21,"Vendor Compliance Policy","Generated Compliance Finding",Critical,"In Progress","2024-10-11 00:00:00","2024-11-21 00:00:00",,1
43,22,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2025-07-06 00:00:00","2025-07-24 00:00:00",,1
44,22,"Data Retention Policy","Generated Compliance Finding",Medium,Open,"2025-10-29 00:00:00","2025-11-15 00:00:00",,1
45,23,"Data Retention Policy","Generated Compliance Finding",Medium,Open,"2024-01-21 00:00:00","2024-03-15 00:00:00",,1
46,23,"Data Retention Policy","Generated Compliance Finding",Low,Open,"2025-04-29 00:00:00","2025-06-25 00:00:00",,1
47,24,"Data Retention Policy","Generated Compliance Finding",Medium,"In Progress","2025-12-17 00:00:00","2026-01-17 00:00:00",,1
48,24,"Vendor Compliance Policy","Generated Compliance Finding",Medium,Open,"2024-06-16 00:00:00","2024-07-20 00:00:00",,1
49,25,"Anti-Bribery Policy","Generated Compliance Finding",Medium,"In Progress","2025-08-12 00:00:00","2025-10-09 00:00:00",,1
50,25,"Vendor Compliance Policy","Generated Compliance Finding",High,Closed,"2024-03-18 00:00:00","2024-05-09 00:00:00","2024-05-05 00:00:00",0
51,26,"Vendor Compliance Policy","Generated Compliance Finding",High,Open,"2025-12-01 00:00:00","2026-01-23 00:00:00",,1
52,26,"Vendor Compliance Policy","Generated Compliance Finding",Medium,Closed,"2025-06-29 00:00:00","2025-08-10 00:00:00","2025-08-04 00:00:00",0
